moves, time, depth
20, 20, 4176.000000, 5
20, 416.000000, 5
20, 402.000000, 5
20, 409.000000, 5
20, 419.000000, 5
20, 487.000000, 5
23, 617.000000, 5
25, 87.000000, 5
27, 44.000000, 5
19, 33.000000, 5
20, 151.000000, 5
24, 16.000000, 5
24, 89.000000, 5
19, 295.000000, 5
32, 41.000000, 5
16, 11.000000, 5
25, 26.000000, 5
15, 9.000000, 5
21, 9.000000, 5
15, 12.000000, 5
18, 170.000000, 5
22, 281.000000, 5
18, 8.000000, 5
17, 149.000000, 5
17, 179.000000, 5
20, 7.000000, 5
16, 24.000000, 5
16, 150.000000, 5
16, 132.000000, 5
16, 155.000000, 5
19, 186.000000, 5
16, 151.000000, 5
23, 286.000000, 5
16, 148.000000, 5
24, 290.000000, 5
15, 7.000000, 5
14, 91.000000, 5
16, 10.000000, 5
13, 90.000000, 5
22, 216.000000, 5
13, 74.000000, 5
18, 144.000000, 5
12, 73.000000, 5
17, 132.000000, 5
12, 4.000000, 5
12, 56.000000, 5
11, 47.000000, 5
11, 58.000000, 5
13, 80.000000, 5
11, 60.000000, 5
14, 85.000000, 5
11, 28.000000, 5
16, 3.000000, 5
10, 5.000000, 5
10, 27.000000, 5
17, 51.000000, 5
14, 2.000000, 5
12, 4.000000, 5
9, 14.000000, 5
18, 4.000000, 5
9, 10.000000, 5
19, 4.000000, 5
8, 10.000000, 5
18, 68.000000, 5
6, 8.000000, 5
17, 56.000000, 5
8, 8.000000, 5
15, 52.000000, 5
5, 7.000000, 5
22, 71.000000, 5
8, 0.000000, 5
7, 4.000000, 5
8, 0.000000, 5
8, 6.000000, 5
8, 5.000000, 5
5, 4.000000, 5
7, 4.000000, 5
3, 2.000000, 5
8, 5.000000, 5
8, 6.000000, 5
5, 4.000000, 5
7, 5.000000, 5
8, 6.000000, 5
8, 6.000000, 5
7, 5.000000, 5
7, 5.000000, 5
8, 5.000000, 5
8, 4.000000, 5
5, 4.000000, 5
5, 4.000000, 5
8, 5.000000, 5
8, 6.000000, 5
5, 4.000000, 5
6, 5.000000, 5
8, 5.000000, 5
8, 5.000000, 5
3, 2.000000, 5
5, 4.000000, 5
8, 5.000000, 5
8, 6.000000, 5
5, 4.000000, 5
5, 4.000000, 5
8, 5.000000, 5
8, 6.000000, 5
5, 4.000000, 5
5, 4.000000, 5
8, 5.000000, 5
8, 5.000000, 5
8, 0.000000, 5
5, 3.000000, 5
5, 3.000000, 5
8, 4.000000, 5
3, 1.000000, 5
5, 4.000000, 5
8, 5.000000, 5
8, 4.000000, 5
5, 3.000000, 5
7, 1.000000, 5
7, 4.000000, 5
7, 5.000000, 5
5, 3.000000, 5
9, 11.000000, 5
7, 4.000000, 5
8, 8.000000, 5
5, 3.000000, 5
9, 8.000000, 5
8, 5.000000, 5
9, 7.000000, 5
3, 2.000000, 5
6, 5.000000, 5
8, 5.000000, 5
9, 7.000000, 5
3, 2.000000, 5
4, 3.000000, 5
8, 4.000000, 5
6, 4.000000, 5
3, 2.000000, 5
6, 4.000000, 5
5, 3.000000, 5
6, 5.000000, 5
7, 4.000000, 5
6, 4.000000, 5
5, 3.000000, 5
4, 3.000000, 5
5, 3.000000, 5
4, 3.000000, 5
8, 5.000000, 5
3, 2.000000, 5
5, 4.000000, 5
8, 5.000000, 5
8, 5.000000, 5
5, 4.000000, 5
5, 3.000000, 5
8, 7.000000, 5
8, 6.000000, 5
8, 8.000000, 5
5, 3.000000, 5
7, 3.000000, 5
8, 6.000000, 5
8, 7.000000, 5
7, 2.000000, 5
7, 5.000000, 5
8, 5.000000, 5
8, 6.000000, 5
5, 4.000000, 5
7, 3.000000, 5
8, 0.000000, 5
8, 5.000000, 5
5, 2.000000, 5
8, 6.000000, 5
5, 4.000000, 5
8, 5.000000, 5
8, 6.000000, 5
5, 4.000000, 5
5, 4.000000, 5
8, 7.000000, 5
8, 5.000000, 5
8, 7.000000, 5
8, 6.000000, 5
8, 7.000000, 5
5, 3.000000, 5
8, 7.000000, 5
8, 7.000000, 5
8, 7.000000, 5
5, 4.000000, 5
8, 7.000000, 5
8, 6.000000, 5
8, 7.000000, 5
5, 4.000000, 5
8, 8.000000, 5
5, 4.000000, 5
8, 3.000000, 5
8, 5.000000, 5
8, 8.000000, 5
5, 4.000000, 5
8, 6.000000, 5
8, 5.000000, 5
5, 4.000000, 5
5, 3.000000, 5
8, 6.000000, 5
8, 5.000000, 5
5, 4.000000, 5
7, 4.000000, 5
8, 6.000000, 5
8, 4.000000, 5
3, 1.000000, 5
3, 2.000000, 5
8, 5.000000, 5
5, 3.000000, 5
8, 6.000000, 5
5, 3.000000, 5
8, 6.000000, 5
7, 2.000000, 5
5, 3.000000, 5
5, 3.000000, 5
8, 6.000000, 5
5, 1.000000, 5
5, 3.000000, 5
5, 3.000000, 5
8, 6.000000, 5
7, 2.000000, 5
5, 2.000000, 5
8, 5.000000, 5
8, 4.000000, 5
7, 1.000000, 5
5, 2.000000, 5
8, 2.000000, 5
8, 5.000000, 5
3, 2.000000, 5
8, 7.000000, 5
8, 2.000000, 5
8, 6.000000, 5
5, 1.000000, 5
5, 1.000000, 5
7, 2.000000, 5
5, 1.000000, 5
7, 2.000000, 5
8, 4.000000, 5
8, 6.000000, 5
8, 4.000000, 5
7, 4.000000, 5
8, 8.000000, 5
7, 2.000000, 5
8, 7.000000, 5
7, 4.000000, 5
8, 7.000000, 5
5, 3.000000, 5
8, 7.000000, 5
7, 4.000000, 5
8, 6.000000, 5
8, 3.000000, 5
5, 4.000000, 5
5, 4.000000, 5
8, 6.000000, 5
5, 3.000000, 5
5, 4.000000, 5
7, 2.000000, 5
8, 5.000000, 5
5, 0.000000, 5
5, 1.000000, 5
7, 1.000000, 5
5, 1.000000, 5
5, 0.000000, 5
8, 3.000000, 5
5, 0.000000, 5
5, 1.000000, 5
3, 0.000000, 5
8, 